Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Theft,5760 S. University ,3/14/13,3/13/13 to 3/14/13 8:30 PM to 8:15 AM,"Unattended laptop computer taken from a secured, shared office",Open,C00270,-87.59806449999999,41.7900995
Found Property,6054 S. Drexel ,3/14/13,3/14/13 11:46 AM,Bag containing tools found / Inventoried for safe-keeping at UCPD,Closed,C00271,-87.604867,41.78464
Theft,5530 S. Ellis ,3/15/13,3/14/13 10:45 PM to 11:00 PM,Cell phone and debit card taken from unsecured locker,Open,C00272,-87.6016284,41.794474
Information,53rd & Woodlawn,3/15/13,3/15/13 6:29 PM,Pedestrian in cross walk struck by motor vehicle / Pedestrian declined medical attention / CPD case HW192747,CPD Case,C00273,-87.59664339999999,41.7994432
Traffic Violation,1700 E. Hyde Park,3/15/13,3/15/13 11:40 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00274,-87.58642030000001,41.8024934
Lost Property,950 E. 58th St. ,3/16/13,3/16/13 2:30 PM to 3:10 PM,Report of a lost key,Closed,C00275,-87.6021833,41.7895543
Traffic Violation,5200 S. Woodlawn,3/16/13,3/16/13 5:43 PM,UCPD officers arrested a motorist for driving without a driver's license / Also charged with an active arrest warrant,Arrest,C00276,-87.5969348,41.8007483
Traffic Violation,1130 E. Midway Pl.,3/16/13,3/16/13 8:16 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00277,-88.05020209999999,41.8825698
Theft,1215 E. Hyde Park ,3/17/13,3/15/13 to 3/17/13 7:15 PM to 4:15 PM,Bicycle taken from common area - 1st floor lounge,Open,C00278,-87.59634249999999,41.8021008
Traffic Violation,4625 S. Drexel,3/17/13,3/17/13 9:56 PM,UCPD officers arrested a motorist for driving with a revoked driver's license,Arrest,C00279,-87.60350079999999,41.8106981
Traffic Violation,5500 S. Kimbark,3/18/13,3/18/13 12:33 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00280,-87.59493859999999,41.7950297
Traffic Violation,5800 S. Kimbark,3/18/13,3/18/13 2:55 PM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,C00281,-87.5947944,41.7885603
Theft,5815 S. Maryland ,3/18/13,3/14/13 8:45 AM to 12:30 PM,iPhone taken from bedside table in patient's room,Open,C00282,-87.6041439,41.78917240000001
Theft,5730 S. Ellis ,3/18/13,3/18/13 12:10 PM to 12:15 PM,Unattended iPhone left on desk at computer station was taken by an unknown person,Open,C00283,-87.60255599999999,41.790225
Traffic Violation,5500 S. Cottage Grove,3/19/13,3/19/13 3:02 AM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00284,-87.605226,41.795729
Harassment by Electronic Means,5801 S. Ellis,3/19/13,2/17/12 to 3/16/13 Various,Report of numerous harassing e-mail messages / Complainant refused to prosecute,Ex. Cleared,C00285,-87.60091480000001,41.7895697
Traffic Violation,5500 S. Lake Park,3/19/13,3/19/13 10:48 PM,UCPD officer arrested a motorist for driving an uninsured vehicle without a valid driver's license,Arrest,C00286,-87.5878062,41.7950649
Traffic Violation,5300 S. Cottage Grove,3/19/13,3/19/13 10:14 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00287,-87.6063255,41.7986041
Traffic Violation,780 E. 63rd St.,3/20/13,3/20/13 12:19 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00288,-87.60626049999999,41.7804048
Lost Property,6054 S. Drexel,3/20/13,2/26/13 to 3/15/13 12:00 PM to 6:00 PM,Report of lost UC Blackberry cell phone,Closed,C00289,-87.604867,41.78464
Damage to Vehicle,822 E. 52nd St.,3/20/13,3/20/13 8:25 PM,Property damage traffic crash / CPD report HW200455,Closed     CPD Case,C00290,-87.6053419,41.800704
Traffic Violation,860 E. 61st St.,3/22/13,3/22/13 7:48 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00292,-87.6047927,41.7840702
Traffic Violation,5400 S. Cottage Grove,3/22/13,3/22/13 10:36 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with an expired driver's license,Arrest,C00293,-87.6062917,41.7967793
Liquor Law Violation,1101 E. 56th St. ,3/23/13,3/23/13 12:37 AM,Underage person fell in hallway striking his head on the wall after consuming alcoholic beverages / Transported to ER by CFD EMS for treatment,Referred,C00294,-87.59982459999999,41.7930128
Traffic Violation,5600 S. Lake Park,3/23/13,3/23/13 12:41 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00295,-87.588,41.7933658
Traffic Violation,1385 E. Midway Pl.,3/23/13,3/23/13 12:49 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00296,-87.1398473,41.5424362
Traffic Violation,5100 S. Lake Park,3/23/13,3/23/13 2:34 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00297,-87.5879444,41.8024599
Information,4701 S. Cottage Grove,3/23/13,3/23/13 1:50 PM,Patient left Mitchell ER without being properly released/ Located by UCPD and returned to ER for additional treatment,Closed,C00298,-87.60558789999999,41.809272
Traffic Violation,5500 S. Blackstone,3/23/13,3/23/13 9:22 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00299,-87.5903441,41.7947566
Traffic Violation,5300 S. Blackstone,3/24/13,3/24/13 8:49 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00300,-87.590829,41.7991979
Traffic Violation,5100 S. Cottage Grove,3/24/13,3/24/13 11:47 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00301,-87.6064292,41.8022483
Theft,5706 S. University ,3/25/13,3/19/13 to 3/25/13 9:00 AM to 8:40 AM,Unknown person took 40 ft. of copper wire from electrical closet in basement of building,Open,C00302,-87.5982633,41.7909142
Theft,5758 S. Maryland ,3/25/13,3/22/13 to 3/25/13 3:30 PM to 8:00 AM,Unknown person took two laptop computers from a secured office,Open,C00303,-87.60554789999999,41.7901233
Traffic Violation,5500 S. Lake Park,3/25/13,3/25/13 8:49 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00304,-87.5878062,41.7950649
Traffic Violation,5500 S. Lake Park,3/25/13,3/25/13 11:44 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00305,-87.5878062,41.7950649
Information,5530 S. Ellis ,3/26/13,3/26/13 11:10 AM,"Cell phone, misplaced in washroom, was located and recovered by the owner",Closed,C00306,-87.6016284,41.794474
Traffic Violation,5900 S. Cottage Grove,3/26/13,3/26/13 12:52 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00307,-87.6076016,41.7867553
Information,901 E. 58th St. ,3/26/13,3/26/13 11:29 PM,Report relating to conduct of an intoxicated patient while awaiting treatment at ER,Closed,C00308,-87.6049245,41.78949770000001
Theft,5530 S. Ellis ,3/28/13,3/28/13 10:00 AM to 11:30 AM,Unknown person took rear wheel off of a bicycle secured in the bike rack,Open,C00309,-87.6016284,41.794474
Traffic Violation,1360 E. 52nd St.,3/28/13,3/28/13 11:37 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00310,-87.5927154,41.8012668
Traffic Violation,5225 S. Ingleside,3/28/13,3/28/13 1:01 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00311,-87.6024853,41.800128
Theft,941 E. 54th Pl.,3/28/13,3/27/13 to 3/28/13 7:00 PM to 5:00 PM,Unsecured bicycle taken from the rear of private apartment building,Open,C00312,-87.6021141,41.79632220000001
Assist Other Agency,1554 E. 55th St. ,3/28/13,3/28/13 7:18 PM,UCPD officers arrested two males who had taken merchandise from Walgreens without paying / CPD Case HW210381,Arrest,C00313,-87.5881004,41.7955298
Theft,5734 S. Ellis ,3/28/13,3/28/13 12:00 PM to 8:30 PM,Unknown person cut chain and took secured bicycle,Open,C00314,-87.6016511,41.79029329999999
Traffic Violation,5000 S. Kimbark,3/29/13,3/29/13 10:56 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00315,-87.5951322,41.8042063
Battery / Domestic,5721 S. Maryland ,3/30/13,3/30/13 5:15 PM,Parents of patient involved in a verbal disagreement / Male subject then choked female / Suspect fled before police arrived,Open,C00317,-87.6046094,41.7902271
Traffic Violation,5400 S. Cottage Grove,3/30/13,3/30/13 9:36 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00318,-87.6062917,41.7967793
Found Property,5815 S. Maryland ,3/31/13,3/31/13 4:15 AM,Staff member found suspect cannabis among patient's property / Turned over to UCPD,Closed,C00319,-87.6041439,41.78917240000001
Traffic Violation,6400 S. Stony Island,3/31/13,3/31/13 12:39 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00320,-87.5864279,41.7787639
Traffic Violation,1003 E. 53rd St.,3/31/13,3/31/13 3:04 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00321,-87.6010412,41.7992266
Lost Property,1414 E. 59th St. ,3/31/13,3/25/13 to 3/26/13 11:00 PM to 7:30 AM,Resident reports losing his wallet while in I-House,Closed,C00322,-87.5908334,41.7882389
Information / Assist Other Agency,1100 E. 55th St.,4/1/13,4/1/13 1:30 AM,"UCPD assisted CPD / Two unknown males, one armed with a handgun, took property from a man walking on the sidewalk off-campus / CPD Case HW214395",CPD Case,C00323,-87.5988812,41.7958358
Criminal Damage to Property,5610 S. Drexel ,4/1/13,3/29/13 to 4/1/13 5:00 PM to 8:05 AM,Unknown person damaged door to storage shed in playground area,Open,C00324,-87.6040807,41.7928524
Injured Person,6054 S. Drexel ,4/1/13,4/1/13 12:41 PM,Two women fell while walking on the public sidewalk / one injured both knees / Transported to ER by CFD EMS,Closed,C00325,-87.604867,41.78464
Theft,1100 E. 58th St. ,4/1/13,3/30/13 to 4/1/13 5:00 PM to 8:00 AM,Laptop computer taken from secured office,Open,C00326,-87.59917689999999,41.7901848
Information,Kenwood between 52nd & 53rd,4/1/13,4/1/13 3:31 PM,UCPD conducted a well-being check of an individual / Individual safe and well,Closed,C00327,-87.59299224494258,41.800216150849614
Traffic Violation,5600 S. Cottage Grove,4/1/13,4/1/13 7:11 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00328,-87.6062168,41.7931332
Criminal Damage to Vehicle,5505 S Ellis ,4/1/13,4/1/13 9:30 AM to 8:00 PM,Unknown person keyed a word onto the door of a parked vehicle and deflated a tire,Open,C00329,-87.601637,41.79457499999999
Lost Property,1442 E. 59th St. & 1116 E. 59th St.,4/1/13,4/1/13 7:50 PM to 7:55 PM,Man lost his wallet / Possibly on UC Shuttle bus,Closed,C00330,-87.6255171,41.787366
Traffic Violation,5500 S. Cottage Grove,4/1/13,4/1/13 11:23 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00331,-87.605226,41.795729
Information,5610 S. Maryland ,4/2/13,4/2/13 6:00 AM to 10:45 AM,Unknown person(s) took power tools from a contractor's vehicle parked on the street / CPD report HW216249,CPD Case,C00332,-87.60522999999999,41.792858
Theft,950 E. 61st St. ,4/2/13,4/2/13 12:00 PM to 1:00 PM,"Woman left her purse in 3rd floor restroom / Returned to find the purse had been taken by unknown person / Purse found in office, had not been stolen",Unfounded,C00333,-87.6024204,41.7844442
Assault,1135 E. 57th St. ,4/2/13,4/1/13 8:00 PM to 9:00 PM,Complainant reported an unknown male was verbally abusive and placed her in fear for her safety,Open,C00334,-87.59817799999999,41.7913924
Information,5815 S. Maryland ,4/2/13,4/2/13 5:23 PM,Physician reported an unknown person had attempted to obtain controlled substances using his substance control number / DEA and CPD notified / CPD HW216098,CPD Case,C00335,-87.6041439,41.78917240000001
Injured Person,5758 S. Maryland ,4/2/13,4/2/13 6:35 PM,"Visitor tripped over carpet in lobby, fell causing injury to wrist and knee / Escorted to ER for treatment",Closed,C00336,-87.60554789999999,41.7901233
Recovered Motor Vehicle,5500 S. Cottage Grove,4/2/13,4/2/13 11:56 PM,UCPD officer recovered a vehicle that had been reported stolen to CPD / Driver arrested / CPD HW167781,Arrest,C00337,-87.605226,41.795729
Information,5841 S. Maryland ,4/3/13,3/27/13 to 4/2/13 8:55 AM to 3:45 PM,Unknown person used physician's prescriptions and DEA number in attempts to procure controlled substances in pharmacies / CPD case HW218665,CPD Case,C00338,-87.6045656,41.7883128
Traffic Violation,5300 S. Ellis,4/3/13,4/3/13 1:51 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00339,-87.6013318,41.79937450000001
Recovered Motor Vehicle,5600 S. Dorchester,4/3/13,4/3/13 7:45 PM,UCPD officers arrested three individuals riding in a vehicle that had been reported stolen to CPD / CPD case HW218178,Arrest,C00341,-87.59199369999999,41.7931669
Assist Other Agency,5000 S. East End,4/3/13,4/3/13 11:34 PM,UCPD assisted CPD / Three unknown males forcibly took purse from woman walking on the sidewalk off-campus / CPD HW218471,CPD Case,C00342,-87.5856682,41.80411
Found Property,5600 S. Lake Park,4/4/13,4/4/13 3:40 PM,Woman found purse and turned it over to UCPD / Inventoried for safekeeping at UCPD,Closed,C00345,-87.588,41.7933658
Traffic Violation,5500 S. Cottage Grove,4/5/13,4/5/13 4:56 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00346,-87.605226,41.795729
Theft,5758 S. Maryland ,4/5/13,4/2/13 to 4/3/13 8:00 AM to 8:00 AM,Unattended coat taken from office,Open,C00347,-87.60554789999999,41.7901233
Traffic Violation,5500 S. Cottage Grove,4/5/13,4/5/13 8:31 PM,UCPD officer arrested a motorist for driving without a valid driver's license / Also served with an active warrant from Cook County,Arrest,C00348,-87.605226,41.795729
Traffic Violation,1548 E. Hyde Park,4/6/13,4/6/13 1:09 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00349,-87.58730349999999,41.8024925
Traffic Violation,5400 S. Cottage Grove,4/6/13,4/6/13 7:41 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00350,-87.6062917,41.7967793
Traffic Violation,5700 S. Cottage Grove,4/6/13,4/6/13 10:38 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00351,-87.6061821,41.79129580000001
Traffic Violation,5305 S. Maryland,4/7/13,4/7/13 8:14 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00352,-87.60490949999999,41.798372
Traffic Violation,5500 S. Harper,4/7/13,4/7/13 9:04 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00353,-87.58867099999999,41.795006
Traffic Violation,5600 S. Cottage Grove,4/7/13,4/7/13 11:54 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00354,-87.6062168,41.7931332
Information,5500 S. Payne Dr.,4/8/13,4/8/13 3:00 AM,Investigation of a subject believed to have an active warrant on file / No active warrant / Subject released,Closed,C00355,-87.6074409,41.7948406
Traffic Violation,1400 E. 55th St.,4/8/13,4/8/13 8:25 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00356,-87.5916048,41.7956418
Harassing Phone Calls,6054 S. Drexel,4/8/13,3/29/13 to 4/8/13 Various,Investigation of repeated harassing telephone calls,Open,C00357,-87.604867,41.78464
Information,5700 S. Drexel,4/8/13,4/8/13 9:25 AM,Pedestrian struck by motor vehicle / Transported to hospital by CFD EMS / CPD Investigation,CPD Case,C00358,-87.60374670000002,41.7913583
Theft,1131 E. 57th St. ,4/8/13,4/6/13 5:30 PM to 10:30 PM,Unknown person took a wallet from unattended bag left under a table behind the stage,Open,C00359,-87.5982604,41.791237
Theft,1450 E. 59th St. ,4/8/13,4/5/13 to 4/8/13 9:00 PM to 7:00 AM,Unknown person took wheel from bicycle secured to bike rack,Open,C00360,-87.5896075,41.7880876
Information,5220 S. Drexel,4/8/13,4/5/13 to 4/8/13 8:00 PM to 7:45 AM,Unknown person(s) took two bicycles secured to bike rack at private apartment building / CPD investigation,CPD Case,C00361,-87.6045912,41.7997066
Information,Kenwood between 58th & 59th,4/10/13,4/8/13 9:15 AM,Report of suspicious activity by unknown individual loitering in the middle of the street,Open,C00362,-87.61147454480599,41.83387915406417
Theft,5748 S. Blackstone ,4/10/13,4/9/13 to 4/10/13 5:00 PM to 9:00 AM,Bicycle secured to bike rack taken by unknown person,Open,C00363,-87.5905458,41.7901022
Injured Person,915 E. 60th St. ,4/10/13,4/10/13 12:15 PM,"Woman tripped while walking down stairs, fell striking her head and knee on the ground / Refused medical attention",Closed,C00364,-87.603927,41.7854503
Traffic Violation,5600 S. Cottage Grove,4/10/13,4/10/13 4:40 PM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,C00365,-87.6062168,41.7931332
Traffic Violation,5500 S. Payne Dr.,4/10/13,4/10/13 8:02 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00366,-87.6074409,41.7948406
Information,5100 South Lake Park,4/10/13,4/10/13 10:00 PM,Victim reported 2 female and 3 male juveniles forcibly took her iPad while she waited at a bus stop off-campus / CPD case HW227905,CPD Case,C00367,-87.5879444,41.8024599
Theft,1055 E. 55th St. ,4/10/13,4/10/13 10:15 PM to 11:20 PM,Unattended purse taken from chair,Open,C00368,-87.6002467,41.7949283
Traffic Violation,6275 S. Woodlawn,4/11/13,4/11/13 2:07 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00369,-87.596194,41.7807667
Lost Property,5815 S. Maryland ,4/11/13,4/9/13 to 4/11/13 1:00 PM to 2:00 PM,Staff member reports losing his UCM ID card,Closed,C00370,-87.6041439,41.78917240000001
Traffic Violation,1535 E. Midway Pl.,4/11/13,4/11/13 8:10 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00372,-87.9642877,42.0254536
Traffic Violation,1335 E. 53rd St.,4/12/13,4/12/13 1:06 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00373,-87.5926331,41.7994694
Traffic Violation,6200 S. Stony Island,4/12/13,4/12/13 9:33 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00374,-87.58686999999999,41.782257
Theft from Motor Vehicle,5514 S. University ,4/12/13,4/10/13 to 4/11/13 4:50 PM to 12:30 PM,Parking placard taken from interior of unsecured vehicle,Open,C00375,-87.5983354,41.7946356
Traffic Violation,5801 S. Kenwood,4/12/13,4/12/13 5:31 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00376,-87.59281279999999,41.789522
Liquor Law Violation,6031 S. Ellis ,4/13/13,4/13/13 1:37 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00377,-87.6003487,41.78502539999999
Criminal Trespass to Vehicle,4300 S. Drexel,4/13/13,4/13/13 5:17 PM,UCPD officers arrested a motorist driving a vehicle that had been reported stolen to Chicago police / CPD HW224305,Arrest,C00378,-87.60484799999999,41.816469
Information,5747 S. University ,4/13/13,4/13/13 10:00 AM to 11:00 AM,"Laptop computer taken from open, unsecured room",CPD Case,C00379,-87.59765139999999,41.7901174
Armed Robbery,University between 56th & 57th,4/14/13,4/14/13 5:25 AM,"Two unknown males, one armed with a handgun, took property from two victims walking on the sidewalk /Suspects fled in a black mid-size vehicle",Open,C00380,-87.59810194959996,41.792317600003436
Lost Property,5540 S. Hyde Park & 6031 S. Ellis,4/14/13,4/14/13 1:00 AM to 2:00 AM,Woman reports losing iPhone,Closed,C00381,-87.601558,41.80229920000001
Traffic Violation,6300 S. Ellis,4/14/13,4/14/13 2:27 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00382,-87.60047600000001,41.7804253
Theft,901 E. 58th St. ,4/14/13,4/14/13 12:30 PM to 2:30 PM,Unattended cell phone left on table in cafeteria taken by unknown person / Phone found in cafeteria and returned to owner,Unfounded,C00383,-87.6049245,41.78949770000001
Theft,6031 S. Ellis ,4/14/13,4/13/13 to 4/14/13 8:00 PM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,C00384,-87.6003487,41.78502539999999
Information,Blackstone between 56th & 57th,4/14/13,4/12/13 to 4/13/13 11:00 PM to 4:30 PM,Unsecured bicycle taken from gangway of private apartment building,CPD Case,C00385,-87.59027494974397,41.7924096500014
Warrant Arrest,6100 S. Blackstone,4/15/13,4/15/13 1:07 AM,UCPD officers arrested a man wanted on a warrant from DuPage County,Arrest,C00387,-87.5905903,41.7841364
Theft,5758 S. Maryland ,4/15/13,4/12/13 to 4/15/13 4:00 PM to 7:40 AM,Gym shoes taken from an unsecured locker,Open,C00388,-87.60554789999999,41.7901233
Information,Woodlawn between 54th & 55th,4/15/13,4/13/13 to 4/14/13 10:00 PM to 1:00 AM,Unknown person took victim's wallet containing UC ID while she attended a party at a private residence off campus,CPD Case,C00389,-87.59656144994922,41.79579150000009
Traffic Violation,6100 S. Cottage Grove,4/15/13,4/15/13 11:00 PM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00390,-87.60637589999999,41.7838418
Theft,5758 S. Maryland ,4/16/13,4/15/13 to 4/16/13 5:30 PM to 9:00 AM,Computer taken from unsecured office,Open,C00391,-87.60554789999999,41.7901233
Theft,5700 S. Maryland ,4/16/13,4/16/13 2:30 PM to 3:45 PM,Woman left her purse unattended in café / Returned to find someone had taken the purse,Open,C00392,-87.60495069999999,41.7910678
Aggravated Assault,5815 S. Maryland ,4/16/13,4/16/13 5:05 PM,Two male acquaintances became involved in an argument after visiting a patient / One subject threatened to cut the other / Arrested by UCPD,Arrest,C00393,-87.6041439,41.78917240000001
Traffic Violation,5500 S. Cottage Grove,4/16/13,4/16/13 7:32 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00394,-87.605226,41.795729
Traffic Violation,5400 S. Cottage Grove,4/16/13,4/16/13 11:35 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00395,-87.6062917,41.7967793
Attempt Robbery,57th between Drexel & Ellis,4/17/13,4/17/13 2:05 AM,Unknown male forcibly attempted to take a back pack from a victim walking on the sidewalk,Open,C00396,-87.60251485014194,41.79136620638036
Theft,1212 E. 59th St. ,4/17/13,4/12/13  12:00 PM to 3:00 PM,Unattended cash box taken from table in lobby,Open,C00397,-87.5955798,41.7882112
Theft,915 E. 60th St. ,4/17/13,4/11/13 to 4/16/13 6:05 PM to 10:00 AM,Secured bicycle taken from bike rack,Open,C00398,-87.603927,41.7854503
Found Property,901 E. 58th St. ,4/17/13,4/17/13 3:00 PM,Staff found bullet among patient's belongings / Inventoried by UCPD,Closed,C00399,-87.6049245,41.78949770000001
Theft,5758 S. Maryland ,4/17/13,4/6/13 to 4/17/13 12:00 PM to 11:00 AM,Shared laptop computer taken from unlocked file cabinet drawer in office,Open,C00400,-87.60554789999999,41.7901233
Theft,5700 S. Maryland ,4/17/13,4/17/13 3:00 PM to 8:00 PM,Unknown person took two earrings from pocket of victim's lab coat,Open,C00402,-87.60495069999999,41.7910678
Traffic Violation,5218 S. Ingleside,4/19/13,4/19/13 1:08 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00404,-87.6031098,41.8000822
Traffic Violation,5611 S. Cottage Grove,4/19/13,4/19/13 8:58 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00405,-87.6057434,41.7924917
Liquor Law Violation,5300 S. Hyde Park ,4/19/13,4/19/13 11:40 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00406,-87.5844826,41.7994446
Found Property,5600 S. Woodlawn,4/20/13,4/20/13 1:55 AM,Resident found cell phone on the sidewalk / Inventoried at UCPD for safekeeping,Closed,C00407,-87.5969808,41.793002
Medical Call,5228 S. Woodlawn ,4/20/13,4/20/13 3:28 AM,Individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Closed,C00408,-87.5966772,41.8000353
Criminal Damage to Vehicle,5550 S. University,4/20/13,4/19/13 to 4/20/13 11:00 PM to 7:20 AM,Unknown person(s) damaged side view mirrors of two cars parked on the street / Suspect arrested and charged subsequent to UCPD investigation on 5/24/13,Arrest,C00409,-87.598936,41.7935611
Assist Other Agency,6100 S. Ellis,4/20/13,4/20/13 1:23 PM,UCPD officers arrested a male for Criminal Trespass to Vehicle / CPD case HW240572,Arrest,C00410,-87.6011541,41.7840747
Assist Other Agency,1418 E. 53rd St.,4/20/13,4/20/13 3:03 PM,UCPD officers arrested a male for Criminal Trespass to Land / CPD case HW240775,Arrest,C00411,-87.5911268,41.7999386
Lost Property,5815 S. Maryland ,4/20/13,4/19/13 12:00 AM to 6:20 PM,Patient lost cell phone,Closed,C00412,-87.6041439,41.78917240000001
Traffic Violation,5600 S. Cottage Grove,4/20/13,4/20/13 11:41 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00415,-87.6062168,41.7931332
Traffic Violation,5509 S. Kimbark,4/21/13,4/21/13 1:32 AM,UCPD officer arrested a motorist for driving with a suspended driver's license and expired vehicle registration,Arrest,C00414,-87.59468489999999,41.7946253
Traffic Violation,5855 S. Woodlawn,4/21/13,4/21/13 9:39 PM,UCPD officer arrested a motorist for driving with a suspended driver's license.,Arrest,C00416,-87.59637579999999,41.7886752
Traffic Violation,900 E. 55th St.,4/21/13,4/21/13 10:48 PM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,C00417,-87.60379789999999,41.7949875
Theft,5758 S. Maryland ,4/22/13,4/18/13 to 4/22/13 10:00 AM to 7:45 AM,Unknown person took Playstation 2 system and DVDs from a storage closet,Open,C00418,-87.60554789999999,41.7901233
Criminal Damage to Property,5714 S. University ,4/22/13,4/22/13 5:00 AM,Unknown persons poured an unknown substance onto two cars parked in rear parking area,Open,C00419,-87.5980799,41.7907507
Criminal Damage to Property,6019 S. Ingleside ,4/22/13,4/19/13 to 4/22/13 10:00 AM to 2:00 PM,Unknown person(s) damaged door to basement storage area,Open,C00420,-87.6021507,41.7852751
Lost Property,Between 57th and University & 54th and Maryland,4/22/13,4/21/13 to 4/22/13 8:30 PM to 10:30 AM,Woman reported she lost her wallet containing cash and UC ID,Closed,C00421,-87.60157210314672,41.79409725306934
Theft,5840 S. Kenwood ,4/22/13,4/22/13 7:40 AM to 1:30 PM,Two bicycles secured to bike rack taken by unknown person(s),Open,C00422,-87.59318329999999,41.7893743
Criminal Damage to Property,6022 S. Drexel ,4/22/13,4/19/13 to 4/20/13 11:00 AM to 11:00 AM,Unknown person damaged key lock box in building foyer,Open,C00423,-87.6048799,41.7853843
Information,6054 S. Drexel,4/22/13,4/22/13 2:00 PM,Report of damage to UC vehicle,Closed,C00424,-87.604867,41.78464
Information,5841 S. Maryland ,4/23/13,4/19/13 9:00 AM,Report of receipt of suspicious letter,Closed,C00426,-87.6045656,41.7883128
Information,Hyde Park between 54th & 55th,4/23/13,4/23/13 5:40 PM,Two unknown males used force to take cell phone from man walking on the sidewalk off campus / CPD HW244799,CPD Case,C00428,-87.58397724911131,41.796662900006645
Lost Property,Between 59th and Ellis & 60th and Ellis,4/23/13,4/23/13 6:00 PM,Woman lost wallet and cell phone from her jacket pocket,Closed,C00429,-87.60120594966588,41.78682155000238
Information,Blackstone between 51st & 52nd,4/23/13,4/23/13 11:30 PM,"Four unknown males, armed with a handgun, forced entry to private apartment off campus / Took iPhones and computers from occupants before fleeing / CPD investigation HW245145",CPD Case,C00430,-91.80909375933857,41.608166980708006
Theft,924 E. 57th St. ,4/24/13,4/23/13 to 4/24/13 7:00 PM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00431,-87.6028077,41.79192099999999
Theft,1100 E. 58th St. ,4/24/13,4/23/13 to 4/24/13 12:00 PM to 11:00 AM,15 toner ink cartridges taken from secured storage closet,Open,C00432,-87.59917689999999,41.7901848
