,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
1312,Theft,1100 E. 57th St. ,6/6/11 6:27 PM,6/6/11 2:00 PM to 5:30 PM,Secured bicycle taken from bike rack,Open,A00307,-87.6001136,41.7922076
1313,Attempt Theft from Person,Midway Pl. & University,6/6/11 7:03 PM,6/6/11 7:03 PM,Unknown male attempted to grab handbag from woman while walking across Midway / Suspect was unsuccessful and fled on foot,Open,A00306,-87.62979820000001,41.8781136
1314,Theft,5710 S. Woodlawn,6/7/11 9:12 AM,5/26/11 to 6/7/11 2:00 PM to 8:15 AM,Unknown person took $110 from lock box located in a secured cabinet in office,Open,A00309,-87.5964656,41.790950099999996
1315,Theft,55th between Everett & Shore Dr.,6/7/11 9:15 AM,6/6/11 9:00 PM to 11:30 PM,Unknown person took wallet from purse placed under a chair in tavern,Open,A00308,-87.58168555008659,41.795230753114026
1317,Theft from Motor Vehicle,5840 S. Maryland ,6/7/11 3:29 PM,6/7/11 1:15 PM to 3:25 PM,Unknown person smashed front passenger's side window of car parked on the 4th floor of the parking structure and took a Garmin GPS,Open,A00311,-87.60499859999999,41.7888793
1319,Theft from Person,5758 S. Maryland ,6/8/11 12:51 PM,6/8/11 12:00 PM to 12:30 PM,"Unknown male subject ""stumbled into"" a man while entering an elevator on the 2nd floor / Victim later realized his wallet had been taken from his pants pocket",Open,A00313,-87.60554789999998,41.7901233
1320,Theft,5730 S. Drexel ,6/9/11 1:44 PM,6/8/11 to 6/9/11 8:30 PM to 12:00 PM,Unknown person took unattended iPad from a secured room,Open,A00314,-87.6038772,41.790394799999994
1323,Theft,5730 S. Ellis ,6/9/11 6:57 PM,6/9/11 4:00 PM to 5:45 PM,Unknown person removed cable lock and took bicycle from bike rack,Open,A00317,-87.60255599999998,41.790225
1325,Theft,5630 S. University ,6/10/11 1:52 PM,6/10/11 1:25 PM to 1:30 PM,Unattended mini-fridge left in hallway taken by an unknown person,Open,A00319,-87.59843049999998,41.7927938
1326,Theft from Person,Stony Island & 60th,6/10/11 5:13 PM,6/10/11 5:13 PM,Male grabbed cell phone from the hand of a man standing at the bus stop and ran off / Arrest by UCPD,Arrest,A00320,-87.58658790000001,41.786122600000006
1327,Theft,5812 S. Ellis ,6/10/11 6:37 PM,6/10/11 6:35 AM to 6:30 PM,Unknown person took secured bicycle and lock from bike rack,Open,A00321,-87.6023235,41.7891449
1330,Theft,5514 S. University ,6/11/11 10:33 AM,6/11/11 4:00 AM to 9:30 AM,Unknown person took secured bicycle and coil lock from bike rack,Open,A00324,-87.59833540000001,41.7946356
1332,Theft,5835 S. Greenwood ,6/11/11 1:55 PM,6/11/11 5:30 AM to 1:35 PM,Unattended wallet and cell phone taken from unsecured room,Open,A00325,-87.59909929999998,41.7884006
1333,Theft from Motor Vehicle,Woodlawn & 52nd,6/11/11 6:03 PM,6/11/11 8:25 AM to 5:30 PM,"Unknown person smashed driver's side rear window of car parked on the street and took a laptop computer, cell phone, and sketch pad",Open,A00327,-87.59668020000001,41.800894299999996
1338,Theft,5841 S. Maryland ,6/13/11 5:35 AM,6/12/11 to 6/13/11 12:00 PM to 3:00 AM,"Unknown person took a pair of surgical glasses, wallet, headphones, and 2 pillow cases from 4th floor room",Open,A00333,-87.6045656,41.7883128
1339,Theft,5734 S. Ellis ,6/13/11 10:09 AM,6/10/11 to 6/13/11 10:00 AM to 8:00 AM,Unattended view sonic taken from unsecured 4th floor conference room,Open,A00334,-87.6016511,41.79029329999999
1340,Theft,5550 S. University ,6/13/11 6:03 PM,6/13/11 3:00 PM to 5:30 PM,Bicycle secured to bike rack with U lock / Unknown person took bike frame and left front wheel attached to bike rack,Open,A00335,-87.598936,41.793561100000005
1341,Theft from Motor Vehicle,Midway Pl. between University & Woodlawn,6/13/11 6:54 PM,6/13/11 7:15 AM to 6:00 PM,Unknown person removed catalytic convertor from Jeep Cherokee parked on the street,Open,A00336,-87.6130650343606,41.83231006252771
1342,Theft,1115 E. 58th St. ,6/14/11 11:33 AM,6/14/11 9:00 AM to 11:30 AM,Unknown person took front tire of bicycle secured to bike rack,Open,A00337,-87.59867740000001,41.789004
1344,Theft from Motor Vehicle,Midway Pl. between Drexel & Ellis,6/15/11 10:57 AM,6/15/11 10:57 AM,UCPD officers observed male subject break into a pick up truck parked on the street / Arrest / Charged with burglary to motor vehicle,Arrest,A00339,-87.61548680989523,41.832281736949035
1346,Theft,5845 S. Ellis ,6/15/11 4:57 PM,6/12/11 to 6/15/11 3:00 PM to 4:30 PM,Unknown person took secured bike and lock from bike rack,Open,A00341,-87.6011168,41.7885049
1347,Theft,1414 E. 59th St. ,6/15/11 6:06 PM,6/15/11 8:00 AM to 6:00 PM,Unknown person cut cable lock and took bicycle from bike rack,Open,A00342,-87.59083340000001,41.788238899999996
1352,Theft,Kimbark & 52nd,6/18/11 5:49 PM,6/18/11 4:00 pm to 5:30 PM,Unknown person cut cable lock securing bicycle to iron railing on front steps of private apartment building and took bike,Open,A00347,-87.59505949999998,41.800925
1353,Theft from Person,53rd between Drexel & Ellis,6/19/11 9:31 PM,6/19/11 9:10 PM,Unknown male grabbed purse from woman walking on the sidewalk and fled on foot,Open,A00348,-87.60261510017467,41.799380907347214
1354,Theft,58th between Blackstone & Dorchester,6/20/11 10:41 AM,6/16/11 to 6/18/11 9:00 AM to 11:00 AM,Unknown person took bike secured to city sign pole with a U lock,Open,A00349,-87.59087854988104,41.78964740197411
1357,Theft,5815 S. Maryland ,6/21/11 2:44 PM,3/21/11 to 3/24/11 3:05 PM to 2:55 PM,Delayed report - Laptop computer taken from unsecured closet in unsecured room,Open,A00353,-87.6041439,41.78917240000001
1358,Theft,5807 S. Woodlawn ,6/21/11 4:31 PM,6/21/11 11:30 AM to 11:45 AM,Wallet taken from unattended back pack left in unsecured room / Subsequent unauthorized use of credit card reported,Open,A00354,-87.5955699,41.7889213
1364,Theft from Motor Vehicle,56th & Cornell,6/26/11 10:03 AM,6/25/11 to 6/26/11 9:00 PM to 10:00 AM,Unknown person smashed front passenger's side window of car parked on the street and took $4.00,Open,A00360,-87.5853698,41.793389399999995
1365,Theft,University between 54th & 55th,6/26/11 3:01 PM,6/19/11 to 6/26/11 8:00 PM to 2:00 PM,Bicycle taken from secured laundry room in basement of private apartment building,Open,A00361,-87.59811799952598,41.7964971500019
1366,Theft,52nd Pl. & Drexel,6/26/11 5:52 PM,6/26/11 1:30 PM to 4:30 PM,Two bicycles secured to a city sign post on the public way were taken by unknown person(s),Open,A00363,-87.60394509999998,41.80045930000001
1367,Theft,54th Pl. & Ingleside,6/26/11 11:49 PM,6/26/11 10:50 PM to 11:40 PM,Unsecured bicycle taken from entrance hallway of private apartment building,Open,A00364,-87.60275440000001,41.7964536
1368,Theft from Motor Vehicle,56th & Ingleside,6/27/11 12:48 PM,6/27/11 9:00 AM to 12:00 PM,Unknown person smashed driver's side front window of car parked on the street and took $20 in coins,Open,A00365,-88.125016,42.371614
1369,Theft,900 E. 57th St. ,6/27/11 3:57 PM,6/8/11 to 6/24/11 6:00 PM to 8:00 AM,Flowjo data base device taken from desk drawer in secured office,Open,A00366,-87.6034081,41.791646899999996
1371,Theft from Motor Vehicle,5840 S. Maryland ,6/28/11 7:50 PM,6/28/11 6:35 AM to 7:40 PM,Unknown person smashed driver's side window of car parked  on 3rd floor of parking structure and took a Garmin GPS device from the windshield,Open,A00368,-87.60499859999999,41.7888793
1374,Theft,901 E. 58th St. ,6/29/11 11:29 AM,6/29/11 11:29 AM,Woman took staff member's purse from under desk and started to leave the ER / Arrest by UCPD,Arrest,A00371,-87.6049245,41.78949770000001
1376,Theft,1131 E. 57th St. ,6/29/11 6:51 PM,6/29/11 1:00 PM to 3:30 PM,Unknown person took wallet from woman's bag placed on the floor / Unauthorized use of credit card subsequently reported,Open,A00373,-87.5982604,41.791237
1377,Theft from Motor Vehicle,Ellis & 59th,6/30/11 12:02 PM,6/30 /11 7:00 AM to 10:30 AM,"Unknown person pried door of a truck parked on the street and took 2 backpack blowers, a backpack, and cell phone charger",Open,A00374,-87.60122940000001,41.787735
1378,Motor Vehicle Theft,Cottage Grove between 55th & 56th,6/30/11 2:57 PM,6/30/11 11:30 AM to 2:45 PM,A 2000 white Ford van taken from a parking place on the street,Open,A00375,-87.60621694973514,41.79404890000152
1379,Motor Vehicle Theft,Maryland & 54th,7/1/11 11:52 AM,7/1/11 3:15 AM to 7:45 AM,1999 Jeep Cherokee taken from a parking space on the street,Open,A00377,-87.6050707,41.7967877
1381,Theft,5815 S. Maryland ,7/1/11 7:55 PM,7/1/11 2:30 AM to 3:30 AM,Purse left in unsecured room taken by unknown person,Open,A00379,-87.6041439,41.78917240000001
1383,Theft,Lake Park & 55th,7/2/11 5:58 PM,7/2/11 5:30 PM to 5:55 PM,Complainant's wallet taken from unattended bag left in shopping cart in grocery store / Subsequent unauthorized use of credit card reported,Open,A00381,-87.58758429999997,41.7952315
1384,Theft,Woodlawn between 54th & 55th,7/3/11 11:30 AM,7/3/11 3:30 AM to 11:00 AM,Unsecured bicycle taken from rear yard of apartment building,Open,A00382,-87.59656144994922,41.79579150000009
1385,Theft,Harper between 54th & 55th,7/4/11 1:52 PM,7/2/11 3:00 PM to 6:00 PM,Unknown person took unattended back pack from hallway of apartment building,Open,A00383,-87.58874639281943,41.79659625043024
1387,Theft,Blackstone between 56th & 57th,7/5/11 8:11 AM,7/5/11 6:00 AM to 7:30 AM,Unknown person took unsecured bicycle from front of private residence,Open,A00386,-87.59027494974397,41.792409650001396
1389,Theft from Motor Vehicle,Drexel between 54th & 55th,7/5/11 1:35 PM,6/30/11 to 7/5/11 9:00 AM to 11:00 AM,Unknown person removed the catalytic converter from a Jeep Cherokee parked on the street,Open,A00388,-87.60382799962095,41.79608325000473
1390,Theft,Hyde Park between Kimbark & Kenwood,7/5/11 8:49 PM,7/5/11 6:30 PM to 8:30 PM,Two unsecured bicycles taken from lobby of apartment building,Open,A00389,-87.5942804501428,41.80236475281868
1394,Theft,5550 S. University ,7/6/11 3:42 PM,7/1/11 to 7/5/11 1:00 PM to 8:00 AM,"Unknown amount of cash, stored in a refrigerator, taken by unknown person",Open,A00391,-87.598936,41.793561100000005
1395,Theft,Woodlawn between 54th & 55th,7/6/11 5:15 PM,7/1/11 to 7/4/11 3:00 PM to 12:00 AM,Bicycle secured to a pole on the street taken by unknown person,Open,A00392,-87.59656144994922,41.79579150000009
1396,Theft,Kenwood between 58th & 59th,7/7/11 11:54 AM,6/27/11 5:00 PM to 8:00 PM,Unknown person took secured bicycle from bike rack,Open,A00393,-87.61147454480599,41.83387915406417
1397,Theft from Motor Vehicle,5840 S. Maryland ,7/7/11 4:29 PM,7/7/11 10:00 AM to 4:10 PM,Unknown person smashed front passenger's side window of car parked on the 2nd floor of parking structure and took Garmin GPS,Open,A00394,-87.60499859999999,41.7888793
1399,Theft from Motor Vehicle,5840 S. Maryland ,7/7/11 8:26 PM,7/7/11 2:30 PM to 8:20 PM,Unknown person smashed front driver's side window of car parked on the 2nd floor of parking structure and took Garmin GPS,Open,A00396,-87.60499859999999,41.7888793
1401,Theft,5758 S. Maryland ,7/8/11 1:04 PM,7/8/11 11:00 AM to 12:40 PM,Wallet taken from pocket of unattended lab coat,Open,A00398,-87.60554789999998,41.7901233
1402,Theft,950 E. 59th St. ,7/8/11 1:36 PM,7/8/11 11:45 AM to 12:00 PM,Wallet taken from unattended back pack stored under a desk / Subsequent unauthorized use of credit cards reported,Open,A00399,-87.60279190000001,41.7878573
1403,Theft,1101 E. 56th St. ,7/8/11 3:18 PM,7/6/11 to 7/8/11 1:00 PM to 9:00 AM,Bicycle chained to bike rack taken by unknown person,Open,A00400,-87.59982459999998,41.7930128
1405,Theft from Motor Vehicle,5840 S. Maryland ,7/9/11 1:09 PM,7/9/11 7:30 AM to 12:45 PM,Unknown person smashed passenger's side window of vehicle parked on 3rd floor of the structure and took a Garmin GPS,Open,A00402,-87.60499859999999,41.7888793
1406,Theft,55th between Kimbark & Kenwood,7/9/11 1:13 PM,7/9/11 1:13 PM,Male subject took bicycle from rear yard of apartment building / Detained by UCPD / Victim refused to sign complaint / Subject arrested by UCPD for outstanding warrant,Arrest,A00405,-87.5941315000881,41.795129052705434
1408,Theft from Motor Vehicle,5840 S. Maryland ,7/9/11 2:28 PM,7/9/11 6:45 AM to 2:15 PM,Unknown person smashed driver's side window of vehicle parked on 3rd floor of the structure and took a Garmin GPS and an iPod,Open,A00404,-87.60499859999999,41.7888793
1409,Theft,54th between Harper & Lake Park,7/9/11 3:23 PM,7/9/11 2:00 AM to 10:00 AM,Bicycle secured to a wooden railing on the rear porch of an apartment building taken by an unknown person,Open,A00406,-87.5881075502352,41.798073003945106
1410,Theft,1100 E. 57th St. ,7/9/11 4:04 PM,7/9/11 3:00 PM to 3:05 PM,Wallet taken from unattended bag on 4th floor / Subsequent unauthorized use of credit card reported,Open,A00407,-87.6001136,41.7922076
1412,Theft from Motor Vehicle,5840 S. Maryland ,7/9/11 6:44 PM,7/9/11 12:30 PM to 6:40 PM,Unknown person smashed passenger's side window of vehicle parked on 2nd floor of the structure and took a Garmin GPS,Open,A00409,-87.60499859999999,41.7888793
1416,Theft from Motor Vehicle,Drexel between 60th & 61st,7/11/11 9:46 AM,7/5/11 to 7/8/11 7:00 PM to 5:30 PM,Catalytic convertor taken from car parked on the street,Open,A00412,-87.60440914974974,41.78496520000136
1417,Theft,924 E. 57th St. ,7/11/11 11:37 AM,7/11/11 11:20 AM to 11:30 AM,Unattended MacBook Pro laptop computer taken from desktop in unsecured office,Open,A00413,-87.6028077,41.79192099999999
1418,Theft,900 E. 57th St. ,7/11/11 2:19 PM,6/21/11 to 6/23/11 4:00 PM to 9:00 AM,Unknown person took 23 monthly CTA passes from an unsecured office file cabinet,Open,A00414,-87.6034081,41.791646899999996
1419,Theft from Motor Vehicle,5840 S. Maryland ,7/11/11 3:53 PM,7/11/11 6:45 AM to 3:50 PM,Unknown person smashed passenger's side window in car parked on the 3rd level and took a Tom Tom GPS,Open,A00415,-87.60499859999999,41.7888793
1420,Theft,1414 E. 59th St. ,7/11/11 4:28 PM,7/9/11 to 7/11/11 2:45 PM to 4:20 PM,Bicycle secured to bike rack with cable lock taken by unknown person,Open,A00416,-87.59083340000001,41.788238899999996
1421,Theft from Motor Vehicle,5840 S. Maryland ,7/11/11 7:46 PM,7/11/11 11:30 AM to 7:35 PM,Unknown person smashed driver's side window in car parked on the 3rd level and took a Garmin GPS,Open,A00417,-87.60499859999999,41.7888793
1423,Theft,5721 S. Maryland ,7/12/11 10:16 AM,7/11/11 6:20 PM to 6:40 PM,Man left Apple 4G cell phone unattended in lobby / Returned to find phone missing,Open,A00419,-87.6046094,41.7902271
1424,Theft,Ellis between 54th & 55th,7/12/11 11:41 AM,7/12/11 11:35 AM,"Two unknown males on the street asked to use man's cell phone / After receiving phone, suspects ran off",Open,A00420,-87.60130105065737,41.79646450000364
1426,Theft,54th between Kimbark & Kenwood,7/12/11 5:39 PM,7/11/11 to 7/12/11 9:00 AM to 12:00 PM,Unknown person took secured bicycle from bike rack in basement of private apartment building,Open,A00422,-87.59422200012798,41.79799960259631
1427,Theft,6031 S. Ellis ,7/12/11 7:41 PM,6/28/11 to 7/4/11 6:00 PM to 3:00 PM,Unknown person cut U-lock and took bicycle from bike rack,Open,A00423,-87.60034870000001,41.78502539999999
1430,Theft,5807 S. Woodlawn ,7/13/11 1:11 PM,7/13/11 11:20 AM to 12:00 PM,Wallet taken from book bag left unattended on 3rd floor,Open,A00426,-87.5955699,41.7889213
1436,Theft,56th St. between Drexel & Ingleside,7/14/11 2:38 PM,7/14/11 5:45 AM to 2:35 PM,Unknown person smashed passenger's side window of car parked on the street and took a Tom Tom GPS,Open,A00432,-87.86321412111107,42.0826850646351
1437,Theft,Dorchester between 55th & 56th,7/14/11 7:00 PM,7/14/11 6:55 PM,UCPD officers arrested a male subject seen taking a bicycle from the court way of an apartment building,Arrest,A00433,-87.59166429971741,41.79440880000118
1439,Theft from Motor Vehicle,5840 S. Maryland ,7/15/11 12:58 PM,7/15/11 7:45 AM to 12:55 PM,Unknown person smashed windows of three cars parked on the 4th level of the parking structure / Two Garmin GPS taken,Open,A00434,-87.60499859999999,41.7888793
1443,Theft from Motor Vehicle,1369 E. Hyde Park ,7/16/11 2:06 PM,7/16/11 1:30 PM to 2:00 PM,Unknown person smashed front passenger's side window in car parked in alley and took a diaper bag,Open,A00437,-87.5922829,41.8023989
1445,Theft,5730 S. Drexel ,7/16/11 3:22 PM,7/16/11 3:00 PM to 3:30 PM,Unattended purse left in waiting area taken by unknown person,Open,A00439,-87.6038772,41.790394799999994
1451,Theft,Blackstone between 53rd & 54th,7/17/11 8:57 PM,7/10/11 to 7/14/11 11:00 PM to 12:00 PM,Unknown person took Sony digital camera from bedroom of shared apartment,Open,A00445,-87.59042599971725,41.798772050002654
1453,Theft,5550 S. University ,7/18/11 11:52 AM,7/16/11 to 7/18/11 11:00 AM to 9:00 AM,Unknown person removed lock from gym locker taking complainant's i-Pod and running shoes,Open,A00447,-87.598936,41.793561100000005
1456,Theft,57th between Kimbark & Kenwood,7/19/11 10:35 AM,7/19/11 8:10 AM to 8:45 AM,Unknown person took tote bag from under chair in restaurant / Subsequent unauthorized use of credit card reported,Open,A00450,-87.5940330501519,41.79144970285433
1460,Theft,Harper between 58th & 59th,7/19/11 2:56 PM,7/19/11 1:30 PM to 2:45 PM,Unknown person smashed passenger's side front window of car parked on the street and took a Garmin GPS and a Cobra radar detector from the glove box,Open,A00455,-87.6094355058963,41.83299469562794
1461,Theft,5815 S. Maryland ,7/19/11 4:11 PM,7/19/11 7:00 AM to 4:10 PM,Wallet taken from unattended purse left by the side of a desk in office / Unauthorized use of credit cards reported,Open,A00456,-87.6041439,41.78917240000001
1462,Theft,947 E. 58th St. ,7/19/11 5:16 PM,7/19/11 1:15 PM to 2:00 PM,Unknown person took credit cards and iPhone from unattended purses and an external hard drive from office,Open,A00457,-87.6025521,41.7893783
1466,Theft,5735 S. Ellis ,7/20/11 3:58 PM,7/20/11 11:45 AM to 1:00 PM,Unknown person took MacBook computer from unattended back pack left in unsecured office,Open,A00462,-87.6008906,41.7905991
1468,Theft,Blackstone & 49th,7/20/11 9:58 PM,7/20/11 8:00 AM to 9:30 PM,Unknown person took front tire from bicycle chained to a fence abutting the sidewalk,Open,A00464,-87.59057899999998,41.8060521
1471,Theft,57th & University,7/21/11 1:02 PM,7/20/11 to 7/21/11 2:00 PM to 12:15 AM,Bicycle chained to a city street sign taken by an unknown person,Open,A00467,-87.5980738,41.7914067
1472,Theft,900 E. 57th St. ,7/21/11 2:43 PM,7/20/11 9:30 AM to 4:30 PM,Unknown person took purse from unsecured desk drawer in work cubicle,Open,A00468,-87.6034081,41.791646899999996
1473,Theft,1100 E. 57th St. ,7/21/11 5:29 PM,7/21/11 2:20 PM to 5:00 PM,Wallet taken from book bag placed next to chair in library / Subsequent unauthorized use of credit cards reported,Open,A00469,-87.6001136,41.7922076
1475,Theft,5550 S. University ,7/21/11 5:49 PM,7/21/11 5:00 PM to 5:30 PM,"Man reported unknown person took a cell phone and his wallet from a locker that was secured with a lock, but the door was not tightly closed / A second victim had his wallet and cell phone taken from an open locker",Open,A00471,-87.598936,41.793561100000005
1477,Theft,800 E. 55th St. ,7/22/11 10:04 AM,7/1/10 to 6/8/11 9:00 AM to 3:00 PM,Investigation into theft of funds by a former employee,CPD Investigation,A00473,-87.60537289999998,41.7956635
1478,Theft from Motor Vehicle,800 E. Midway Pl.,7/22/11 3:24 PM,7/22/11 5:30 AM to 2:30 PM,"Unknown person took amplifier, speakers, headphones from the trunk of a car parked on the street / No sign of forced entry",Open,A00474,-88.32131389999998,41.83419689999999
1479,Theft from Person,Ingleside between 54th & 55th,7/22/11 4:02 PM,7/22/11 4:00 PM,Unknown man grabbed purse from the hand of a woman walking on the sidewalk,Open,A00475,-87.60274899900958,41.79662385001049
1487,Theft,5706 S. University ,7/26/11 2:16 PM,7/26/11 11:45 AM to 11:50 AM,Unattended wallet taken from desktop in lobby,Open,A00481,-87.59826329999999,41.7909142
1489,Theft,1100 E. 57th St. ,7/26/11 4:50 PM,7/26/11 9:15 AM to 3:15 PM,Wallet taken from computer bag while complainant was in the library / Subsequent unauthorized use of credit cards reported,Open,A00483,-87.6001136,41.7922076
1491,Theft,5807 S. Woodlawn ,7/27/11 6:47 PM,7/27/11 9:10 AM to 6:45 PM,Unknown person cut lock and took bicycle from bike rack,Open,A00485,-87.5955699,41.7889213
1492,Theft,5530 S. Ellis ,7/27/11 9:09 PM,7/27/11 7:30 PM to 9:10 PM,Man reported an unknown person took his cell phone while he was in the gym / Cell phone later found at home,Unfounded,A00486,-87.60162840000001,41.794474
1496,Theft,57th between Kimbark & Kenwood,7/29/11 8:59 AM,7/28/11 12:15 PM,Unknown person took purse from back pack hung over the back of a chair in bakery / Subsequent use of debit card reported,Open,A00489,-87.5940330501519,41.79144970285433
1497,Theft from Motor Vehicle,Blackstone between 60th & 61st,7/29/11 1:48 PM,7/29/11 10:00 AM to 1:45 PM,Unknown person took spare tires from two workmen's trucks parked on the street,Open,A00490,-87.59032049970915,41.78525115000217
1498,Theft from Person,Hyde Park & 55th,7/29/11 10:06 PM,7/29/11 10:00 PM,Unknown man grabbed cell phone from the hand of a woman standing at a bus stop and ran off,Open,A00491,-87.5839381,41.7952081
1507,Theft,6045 S. Kenwood ,8/1/11 1:48 PM,7/29/11 to 8/1/11 4:30 PM to 10:00 AM,Unknown person cut lock and took bicycle from bike rack,Open,A00500,-87.592671,41.7847535
1508,Theft,1212 E. 59th St. ,8/1/11 3:13 PM,4/18/11 5:00 PM to 10:00 PM,"Unknown person took a Dell monitor, docking station, and keyboard from room 223",Open,A00501,-87.5955798,41.7882112
1511,Theft,Woodlawn between 54th & 55th,8/2/11 11:58 AM,8/2/11 11:45 AM,Unknown male took $10 from a man walking on the street / Suspect fled on a bicycle,Open,A00504,-87.59656144994922,41.79579150000009
1513,Theft,900 E. 57th St. ,8/2/11 3:20 PM,8/2/11 8:00 AM to 1:15 PM,Wallet taken from purse placed in unlocked drawer in work cubicle / Subsequent unauthorized use of credit card reported,Open,A00506,-87.6034081,41.791646899999996
1514,Theft of Motorcycle,Cottage Grove between 58th & 59th,8/2/11 5:03 PM,8/2/11 6:00 AM to 3:35 PM,Unknown person(s) took motorcycle that was parked on the street,Open,A00507,-87.60608749963328,41.78859560000291
1518,Theft,1131 E. 57th St. ,8/3/11 1:16 PM,8/3/11 1:00 PM to 1:15 PM,"Back pack containing computer, cell phone, and books, placed on floor next to chair was taken by an unknown person",Open,A00513,-87.5982604,41.791237
1520,Theft,Ellis between 61st & 62nd,8/3/11 7:27 PM,8/2/11 to 8/3/11 11:30 PM to 9:00 AM,Unknown person cut metal fence and took bicycle that was locked to the fence in front of residence,Open,A00516,-87.60112349982721,41.78317755000064
1521,Theft,5841 S. Maryland ,8/3/11 7:47 PM,8/3/11 5:55 PM to 6:10 PM,HP IPAQ hand-held computer and master keys taken from desktop in unsecured office,Open,A00517,-87.6045656,41.7883128
1522,Theft,924 E. 57th St. ,8/3/11 7:50 PM,8/3/11 6:30 PM to 6:50 PM,Unknown person cut lock and took bicycle from bike rack,Open,A00515,-87.6028077,41.79192099999999
1523,Theft,900 E. 57th St. ,8/3/11 9:48 PM,8/3/2011  9:30:00 PM to 9:45 PM,Unattended computer power cord taken from common area lounge,Open,A00518,-87.6034081,41.791646899999996
1524,Theft,54th between University & Woodlawn,8/4/11 8:58 PM,8/4/11 8:58 PM,UCPD officers arrested three males who had taken bicycles from bike rack at residential apartment building,Arrest,A00520,-87.5973523912389,41.79723680268222
1525,Theft,900 E. 57th St. ,8/5/11 1:35 PM,8/5/11 12:00 PM to 1:30 PM,"Unknown person took cash, I.D. cards, and credit cards from unattended purse left in unsecured office / Subsequent unauthorized use of credit card reported",Open,A00521,-87.6034081,41.791646899999996
1526,Theft,900 E. 57th St. ,8/5/11 1:32 PM,8/5/11 12:00 PM to 1:30 PM,Unknown person took unattended back pack from unsecured office/ Subsequent unauthorized use of credit card reported,Open,A00522,-87.6034081,41.791646899999996
1530,Theft,53rd between Blackstone & Harper,8/6/11 4:00 PM,8/6/11 4:00 PM,Man ran out of retail establishment with an MP3 player without paying / Arrested by UCPD officers after a brief chase,Arrest,A00525,-87.58977290010895,41.79951300199266
1542,Theft,56th & Everett,8/10/11 8:07 AM,8/9/11 to 8/10/11 6:30 PM to 7:30 AM,Unknown person cut U-lock that secured bicycle to city sign post on the street and took bike,Open,A00537,-87.58206779999998,41.7934299
1544,Theft,929 E. 57th St. ,8/10/11 1:32 PM,8/10/11 11:00 AM to 1:00 PM,Unknown person took credit cards from wallet in unattended purse left on desk top in unsecured office / Subsequent unauthorized use of credit cards reported,Open,A00539,-87.60270899999998,41.7908878
1545,Theft,54th between Woodlawn & Kimbark,8/10/11 8:04 PM,8/10/11 8:00 PM,Unknown male grabbed cell phone from woman on the street / Suspect dropped phone that was recovered by victim / Second male took victim's unattended back pack,Open,A00540,-87.59578085897955,41.797255952672344
1548,Theft,929 E. 57th St. ,8/11/11 10:28 AM,8/9/11 2:00 PM to 3:00 PM,Unknown person took unattended laptop from desk in unsecured office,Open,A00543,-87.60270899999998,41.7908878
1555,Theft,Drexel & 56th,8/15/11 7:53 AM,8/12/11 to 8/15/11 3:00 PM to 7:00 AM,Unknown person took a fax machine from a construction trailer / No signs of forced entry,Open,A00550,-87.6037882,41.7931665
1558,Theft,5807 S. Woodlawn ,8/15/11 11:46 AM,5/21/11 9:30 AM to 10:30 AM,Vendor reported a theft of cash receipts,Open,A00553,-87.5955699,41.7889213
1559,Theft,University between 51st & 52nd,8/15/11 7:52 PM,8/14/11 to 8/15/11 8:00 PM to 7:00 PM,Unknown person cut lock and took bicycle from front yard of residence,Open,A00554,-87.61399802145826,41.83949943135666
1560,Theft,900 E. 57th St. ,8/16/11 10:30 AM,8/15/11 9:00 AM to 5:00 PM,Unknown person cut coil lock and took bicycle from bike rack,Open,A00555,-87.6034081,41.791646899999996
1561,Theft,900 E. 57th St. ,8/16/11 1:49 PM,8/16/11 9:00 AM to 12:00 PM,Unknown person cut coil lock and took bicycle from bike rack,Open,A00556,-87.6034081,41.791646899999996
1566,Theft,846 E. 56th St. ,8/17/11 9:47 AM,8/16/11 to 8/17/11 7:30 PM to 9:30 AM,Unknown person cut chain and took bike secured to light post,Open,A00561,-87.60527950000001,41.79315980000001
1568,Theft,935 E. 56th St. ,8/17/11 2:23 PM,8/17/11 12:00 PM,Unattended wallet taken from desktop in unsecured office / Unauthorized use of credit card subsequently reported,Open,A00563,-87.6022332,41.7931688
1569,Theft from Motor Vehicle,Greenwood between 49th & 50th,8/17/11 3:36 PM,8/17/11 3:30 PM,Man broke into contractor's vehicle / Arrested by UCPD officers and charged with burglary to a motor vehicle,Arrest,A00564,-87.59918389976391,41.8050535000012
1570,Theft,Drexel & 56th,8/17/11 4:29 PM,8/16/11 8:00 PM to 10:00 PM,Unknown person cut cable lock and took bicycle that was secured to a chain link fence in rear yard of apartment building,Open,A00565,-87.6037882,41.7931665
1572,Theft from Motor Vehicle,Dorchester between 51st & 52nd,8/18/11 2:06 PM,8/17/11 to 8/18/11 9:00 PM to 2:00 PM,Unknown person smashed driver's side window of car parked on the street and took an iPod AM/FM transmitter cable,Open,A00568,-87.61078874829336,41.83954121525386
1573,Theft,1100 E. 58th St. ,8/19/11 8:41 AM,8/18/11 to 8/19/11 2:00 PM to 6:00 AM,"Unknown person(s) took an air compressor, nail gun, and air hose from unsecured office that is being remodeled",Open,A00569,-87.59917689999997,41.7901848
